Trade,Port from,Port to,Frequency
EUAF,Antwerp,Auckland,2
EUAF,Antwerp,Baltimore,1
EUAF,Antwerp,Brisbane,2
EUAF,Antwerp,Durban,2     #THIS ONE ISNT POSSIBLE, DURBAN ISN'T ON ALL 3 REQUESTED LANES. COULD MAYBE BE DONE ON EUME BASED ON SUBAREAS
EUAF,Antwerp,Fremantle,2
EUAF,Antwerp,Jacksonville,1
EUAF,Antwerp,Melbourne,3
EUAF,Antwerp,Port Kembla,3
EUAF,Antwerp,Port Louis,1
EUAF,Antwerp,Port Reunion,1
EUAF,Antwerp,Tamatave,1
EUAF,Baltimore,Auckland,1
EUAF,Baltimore,Brisbane,1
EUAF,Baltimore,Melbourne,1
EUAF,Baltimore,Port Kembla,1
EUAF,Bremerhaven,Auckland,2
EUAF,Bremerhaven,Brisbane,2
EUAF,Bremerhaven,Durban,2   #SHOULD ALSO BE 2, WAS 3. Also EUME
EUAF,Bremerhaven,Fremantle,2
EUAF,Bremerhaven,Melbourne,3
EUAF,Bremerhaven,Noumea,1
EUAF,Bremerhaven,Port Elizabeth,2 #Should be 3, Also EUME
EUAF,Bremerhaven,Port Kembla,3
EUAF,Bremerhaven,Port Louis,1
EUAF,Bremerhaven,Port Reunion,1
EUAF,Bremerhaven,Tamatave,1
EUAF,Durban,Auckland,1
EUAF,Durban,Brisbane,1
EUAF,Durban,Fremantle,2
EUAF,Durban,Melbourne,2
EUAF,Durban,Port Kembla,2
EUAF,Gothenburg,Auckland,1
EUAF,Gothenburg,Brisbane,1
EUAF,Gothenburg,Durban,2
EUAF,Gothenburg,Fremantle,2
EUAF,Gothenburg,Melbourne,2
EUAF,Gothenburg,Port Kembla,2
EUAF,Jacksonville,Auckland,1
EUAF,Jacksonville,Melbourne,1
EUAF,Jacksonville,Port Kembla,1
EUAF,Le Havre,Auckland,1
EUAF,Le Havre,Durban,2
EUAF,Le Havre,Fremantle,1
EUAF,Le Havre,Melbourne,1
EUAF,Le Havre,Noumea,1
EUAF,Le Havre,Port Kembla,1
EUAF,Le Havre,Port Louis,1
EUAF,Le Havre,Port Reunion,1
EUAF,Le Havre,Tamatave,1
EUAF,Newcastle,Antwerp,1
EUAF,Newcastle,Auckland,1
EUAF,Newcastle,Brisbane,1
EUAF,Newcastle,Durban,1
EUAF,Newcastle,Fremantle,1
EUAF,Newcastle,Melbourne,1
